(0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
(0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
"POST /number_list/getAutomationAccount HTTP/1.1" 200 68
"POST /number_list/getJoinChannelAccount HTTP/1.1" 200 15
"POST /number_list/getAutomationAccount HTTP/1.1" 200 429
"GET /number_list/client_number HTTP/1.1" 200 14344
"POST /number_list/getAutomationAccount HTTP/1.1" 200 232
"POST /number_list/getAutomationAccount HTTP/1.1" 200 232
"POST /number_list/getAutomationAccount HTTP/1.1" 200 68
"POST /number_list/getAutomationAccount HTTP/1.1" 200 429
"POST /number_list/getJoinChannelAccount HTTP/1.1" 200 15
"POST /number_list/getAutomationAccount HTTP/1.1" 200 232
"POST /number_list/getAutomationAccount HTTP/1.1" 200 232
"POST /number_list/getAutomationAccount HTTP/1.1" 200 68
"POST /number_list/getAutomationAccount HTTP/1.1" 200 429
"POST /number_list/getJoinChannelAccount HTTP/1.1" 200 15
"POST /number_list/getAutomationAccount HTTP/1.1" 200 232
"POST /number_list/getAutomationAccount HTTP/1.1" 200 429
"POST /number_list/getAutomationAccount HTTP/1.1" 200 68
"POST /number_list/getJoinChannelAccount HTTP/1.1" 200 15
"POST /number_list/getAutomationAccount HTTP/1.1" 200 232
"POST /number_list/getAutomationAccount HTTP/1.1" 200 232
"POST /number_list/getAutomationAccount HTTP/1.1" 200 429
"POST /number_list/getAutomationAccount HTTP/1.1" 200 68
"POST /number_list/getJoinChannelAccount HTTP/1.1" 200 15
"POST /number_list/getAutomationAccount HTTP/1.1" 200 232
"POST /number_list/getAutomationAccount HTTP/1.1" 200 232
"POST /number_list/getAutomationAccount HTTP/1.1" 200 429
"POST /number_list/getAutomationAccount HTTP/1.1" 200 68
"POST /number_list/getJoinChannelAccount HTTP/1.1" 200 15
"POST /number_list/getAutomationAccount HTTP/1.1" 200 232
"GET /number_list/boss_tg_session HTTP/1.1" 200 18666
"POST /number_list/getAutomationAccount HTTP/1.1" 200 429
"POST /number_list/getAutomationAccount HTTP/1.1" 200 68
"POST /number_list/getJoinChannelAccount HTTP/1.1" 200 15
"POST /number_list/getAutomationAccount HTTP/1.1" 200 232
"POST /number_list/getAutomationAccount HTTP/1.1" 200 232
"POST /number_list/getAutomationAccount HTTP/1.1" 200 429
"POST /number_list/getAutomationAccount HTTP/1.1" 200 68
"POST /number_list/getJoinChannelAccount HTTP/1.1" 200 15
"POST /number_list/getAutomationAccount HTTP/1.1" 200 232
"POST /number_list/getAutomationAccount HTTP/1.1" 200 232
